date,net_PnL,num_trades,exit_reasons,CumulativePnL,winning_trades,losing_trades
2025-02-20,2915.0000000000005,1,{'TakeProfit': 1},12646.249999999774,1,0
2025-02-21,2261.2499999999914,3,"{'StopLoss': 2, 'Exit': 1}",14907.499999999765,1,2
2025-02-24,5198.749999999998,1,{'Exit': 1},20106.249999999764,1,0
2025-02-25,2703.7500000000023,3,"{'StopLoss': 2, 'Exit': 1}",22809.999999999767,3,0
2025-02-26,293.75000000000045,1,{'StopLoss': 1},23103.749999999767,1,0
2025-02-27,1653.7500000000005,3,"{'StopLoss': 2, 'TakeProfit': 1}",24757.499999999767,2,1
2025-02-28,383.74999999999363,4,"{'StopLoss': 3, 'Exit': 1}",25141.24999999976,2,2
2025-03-03,-2292.500000000009,5,"{'StopLoss': 4, 'Exit': 1}",22848.749999999753,1,4
2025-03-04,-3384.999999999999,4,"{'StopLoss': 3, 'Exit': 1}",19463.749999999753,1,3
2025-03-05,-3381.2499999999986,7,"{'StopLoss': 6, 'Exit': 1}",16082.499999999754,4,3
2025-03-06,-3661.2499999999927,11,{'StopLoss': 11},12421.249999999762,4,7
2025-03-07,3.749999999989768,3,"{'StopLoss': 2, 'Exit': 1}",12424.99999999975,2,1
2025-03-10,616.2499999999983,4,"{'StopLoss': 3, 'Exit': 1}",13041.249999999749,3,1
2025-03-11,187.49999999999818,6,"{'StopLoss': 5, 'Exit': 1}",13228.749999999747,4,2
2025-03-12,1038.7500000000036,6,"{'StopLoss': 5, 'Exit': 1}",14267.49999999975,3,3
2025-03-13,3407.500000000004,8,"{'StopLoss': 7, 'TakeProfit': 1}",17674.999999999756,4,4
2025-03-17,-2247.500000000003,5,"{'StopLoss': 4, 'Exit': 1}",15427.499999999753,1,4
2025-03-18,-3268.750000000002,4,"{'StopLoss': 3, 'Exit': 1}",12158.74999999975,1,3
2025-03-19,-3241.249999999995,8,"{'StopLoss': 7, 'Exit': 1}",8917.499999999756,1,7
2025-03-20,-1107.4999999999964,8,"{'StopLoss': 7, 'TakeProfit': 1}",7809.99999999976,3,5
2025-03-21,-352.50000000000705,3,"{'StopLoss': 2, 'Exit': 1}",7457.499999999753,1,2
2025-03-24,-4482.500000000009,5,"{'StopLoss': 4, 'Exit': 1}",2974.9999999997435,1,4
2025-03-25,6572.499999999992,5,"{'StopLoss': 4, 'Exit': 1}",9547.499999999734,4,1
2025-03-26,-1079.9999999999905,9,"{'StopLoss': 8, 'Exit': 1}",8467.499999999744,3,6
2025-03-27,2735.0000000000036,7,"{'StopLoss': 6, 'TakeProfit': 1}",11202.499999999747,4,3
2025-03-28,4271.249999999991,6,"{'StopLoss': 5, 'Exit': 1}",15473.749999999738,4,2
2025-03-31,-1941.2500000000007,1,{'StopLoss': 1},13532.499999999738,0,1
2025-04-01,-2065.0,7,"{'StopLoss': 6, 'Exit': 1}",11467.499999999738,1,6
2025-04-02,1873.7500000000032,5,"{'StopLoss': 4, 'Exit': 1}",13341.249999999742,3,2
2025-04-03,2492.500000000001,2,"{'StopLoss': 1, 'TakeProfit': 1}",15833.749999999742,1,1
2025-04-11,-4833.750000000011,3,"{'StopLoss': 2, 'Exit': 1}",10999.99999999973,1,2
2025-04-14,6897.5,1,{'Exit': 1},17897.49999999973,1,0
2025-04-15,7088.749999999997,1,{'Exit': 1},24986.249999999727,1,0
2025-04-16,-3069.9999999999936,7,"{'StopLoss': 6, 'Exit': 1}",21916.249999999734,3,4
2025-04-17,-3529.999999999987,11,{'StopLoss': 11},18386.24999999975,2,9
2025-04-21,6408.749999999993,3,"{'StopLoss': 2, 'Exit': 1}",24794.99999999974,3,0
2025-04-22,2071.25,4,"{'StopLoss': 3, 'Exit': 1}",26866.24999999974,3,1
2025-04-23,-3638.749999999996,11,"{'StopLoss': 10, 'Exit': 1}",23227.499999999745,4,7
2025-04-24,2657.5000000000027,8,"{'StopLoss': 7, 'TakeProfit': 1}",25884.99999999975,4,4
2025-05-02,-556.2500000000282,8,"{'StopLoss': 7, 'Exit': 1}",25328.74999999972,3,5
2025-05-05,4434.999999999998,2,"{'StopLoss': 1, 'Exit': 1}",29763.749999999716,2,0
2025-05-06,1127.5000000000007,2,"{'StopLoss': 1, 'Exit': 1}",30891.249999999716,1,1
2025-05-07,1088.7500000000089,10,"{'StopLoss': 9, 'Exit': 1}",31979.999999999724,6,4
2025-05-08,3293.75,1,{'TakeProfit': 1},35273.74999999972,1,0
2025-05-09,3374.999999999991,3,"{'StopLoss': 2, 'Exit': 1}",38648.749999999716,2,1
2025-05-12,-6895.000000000018,4,"{'StopLoss': 3, 'Exit': 1}",31753.749999999698,1,3
2025-05-13,4812.4999999999745,7,"{'StopLoss': 6, 'Exit': 1}",36566.24999999967,3,4
2025-05-14,2054.999999999998,6,"{'StopLoss': 5, 'Exit': 1}",38621.24999999967,4,2
2025-05-15,-7636.249999999999,11,{'StopLoss': 11},30984.999999999673,4,7
2025-05-16,3079.9999999999973,1,{'Exit': 1},34064.99999999967,1,0
2025-05-19,2154.9999999999955,2,"{'StopLoss': 1, 'Exit': 1}",36219.999999999665,2,0
2025-05-20,29.99999999998562,6,"{'StopLoss': 5, 'Exit': 1}",36249.99999999965,4,2
2025-05-21,-6871.250000000012,11,{'StopLoss': 11},29378.74999999964,2,9
2025-05-22,4088.7499999999973,1,{'TakeProfit': 1},33467.499999999636,1,0
2025-05-23,-5015.00000000002,5,"{'StopLoss': 4, 'Exit': 1}",28452.499999999614,2,3
2025-05-26,-597.5000000000068,2,"{'StopLoss': 1, 'Exit': 1}",27854.999999999607,1,1
2025-05-27,1473.7499999999818,6,"{'StopLoss': 5, 'Exit': 1}",29328.74999999959,3,3
2025-05-28,11679.999999999996,2,"{'StopLoss': 1, 'Exit': 1}",41008.749999999585,2,0
2025-05-29,2051.250000000006,9,"{'StopLoss': 8, 'TakeProfit': 1}",43059.99999999959,5,4
2025-05-30,-1077.5000000000052,2,"{'StopLoss': 1, 'Exit': 1}",41982.499999999585,1,1
2025-06-02,-978.7500000000077,3,"{'StopLoss': 2, 'Exit': 1}",41003.74999999958,1,2
2025-06-03,10288.749999999993,2,"{'StopLoss': 1, 'Exit': 1}",51292.49999999957,1,1
2025-06-04,4460.000000000001,1,{'Exit': 1},55752.49999999957,1,0
2025-06-05,1277.5000000000011,2,"{'StopLoss': 1, 'TakeProfit': 1}",57029.99999999957,2,0
2025-06-06,-2781.2500000000186,4,"{'StopLoss': 3, 'Exit': 1}",54248.74999999955,1,3
2025-06-09,3278.7499999999977,1,{'Exit': 1},57527.49999999955,1,0
2025-06-10,4475.000000000001,1,{'Exit': 1},62002.49999999955,1,0
2025-06-11,-636.2499999999969,4,"{'StopLoss': 3, 'Exit': 1}",61366.24999999955,3,1
2025-06-12,-8633.749999999996,11,{'StopLoss': 11},52732.49999999955,1,10
2025-06-13,1351.2499999999986,1,{'Exit': 1},54083.74999999955,1,0
2025-06-16,-155.00000000000324,2,"{'StopLoss': 1, 'Exit': 1}",53928.74999999955,1,1
2025-06-17,3132.5,1,{'Exit': 1},57061.24999999955,1,0
2025-06-18,-1274.9999999999961,6,"{'StopLoss': 5, 'Exit': 1}",55786.249999999556,2,4
2025-06-19,851.250000000002,3,"{'StopLoss': 2, 'TakeProfit': 1}",56637.499999999556,2,1
2025-06-20,-2973.750000000006,3,"{'StopLoss': 2, 'Exit': 1}",53663.74999999955,1,2
2025-06-23,-1006.2500000000136,5,"{'StopLoss': 4, 'Exit': 1}",52657.499999999534,1,4
2025-06-24,-928.7500000000055,10,"{'StopLoss': 9, 'Exit': 1}",51728.74999999953,3,7
2025-06-25,821.2500000000009,3,"{'StopLoss': 2, 'Exit': 1}",52549.99999999953,2,1
2025-06-26,-4872.499999999992,11,{'StopLoss': 11},47677.499999999534,3,8
2025-06-27,2656.249999999999,1,{'Exit': 1},50333.749999999534,1,0
2025-06-30,821.2499999999955,3,"{'StopLoss': 2, 'Exit': 1}",51154.99999999953,2,1
2025-07-01,5168.749999999999,1,{'Exit': 1},56323.74999999953,1,0
2025-07-02,1410.0000000000048,6,"{'StopLoss': 5, 'Exit': 1}",57733.749999999534,4,2
2025-07-03,440.00000000000693,10,"{'StopLoss': 9, 'TakeProfit': 1}",58173.74999999954,6,4
2025-07-04,2461.2499999999973,1,{'Exit': 1},60634.99999999954,1,0
2025-07-07,1535.0,1,{'Exit': 1},62169.99999999954,1,0
2025-07-08,865.0000000000007,2,"{'StopLoss': 1, 'Exit': 1}",63034.99999999954,1,1
2025-07-09,413.7500000000026,4,"{'StopLoss': 3, 'Exit': 1}",63448.74999999954,3,1
2025-07-10,945.0000000000036,6,"{'StopLoss': 5, 'TakeProfit': 1}",64393.74999999955,2,4
2025-07-11,568.7499999999973,2,"{'StopLoss': 1, 'Exit': 1}",64962.49999999955,1,1
2025-07-14,-1190.0000000000025,5,"{'StopLoss': 4, 'Exit': 1}",63772.49999999955,2,3
2025-07-15,1965.0000000000018,3,{'StopLoss': 3},65737.49999999955,2,1
2025-07-16,-722.4999999999958,4,"{'StopLoss': 3, 'Exit': 1}",65014.999999999556,1,3
2025-07-17,1326.2500000000018,11,{'StopLoss': 11},66341.24999999956,6,5
2025-07-18,734.9999999999909,3,"{'StopLoss': 2, 'Exit': 1}",67076.24999999955,1,2
2025-07-21,-390.00000000000205,3,"{'StopLoss': 2, 'Exit': 1}",66686.24999999955,1,2
2025-07-22,1885.0000000000032,2,"{'StopLoss': 1, 'Exit': 1}",68571.24999999955,2,0
2025-07-23,-488.74999999999636,5,"{'StopLoss': 4, 'Exit': 1}",68082.49999999955,2,3
2025-07-24,-2423.7499999999964,11,{'StopLoss': 11},65658.74999999955,4,7
2025-07-25,-597.5000000000059,5,"{'StopLoss': 4, 'Exit': 1}",65061.24999999954,2,3
2025-07-28,-2147.499999999999,7,"{'StopLoss': 6, 'Exit': 1}",62913.74999999954,3,4
2025-07-29,-3358.7500000000005,7,"{'StopLoss': 6, 'Exit': 1}",59554.99999999954,1,6
2025-07-30,-1529.9999999999932,9,"{'StopLoss': 8, 'Exit': 1}",58024.99999999955,3,6
2025-07-31,-2146.2499999999927,11,{'StopLoss': 11},55878.749999999556,3,8
2025-08-01,-26.25000000000962,3,"{'StopLoss': 2, 'Exit': 1}",55852.49999999955,1,2
2025-08-04,-206.25000000000034,3,"{'StopLoss': 2, 'Exit': 1}",55646.24999999955,1,2
2025-08-05,1686.2499999999995,2,"{'StopLoss': 1, 'Exit': 1}",57332.49999999955,1,1
2025-08-06,2057.5000000000014,2,"{'StopLoss': 1, 'Exit': 1}",59389.99999999955,2,0
2025-08-07,55.00000000000273,11,{'StopLoss': 11},59444.99999999955,4,7
2025-08-08,-902.5000000000047,4,"{'StopLoss': 3, 'Exit': 1}",58542.49999999954,1,3
2025-08-11,495.0000000000023,3,"{'StopLoss': 2, 'Exit': 1}",59037.49999999954,2,1
2025-08-12,-1229.9999999999957,9,"{'StopLoss': 8, 'Exit': 1}",57807.49999999955,5,4
2025-08-13,1016.2500000000032,3,"{'StopLoss': 2, 'Exit': 1}",58823.74999999955,2,1
2025-08-14,1307.5000000000036,11,{'StopLoss': 11},60131.24999999955,5,6
2025-08-18,1647.4999999999975,4,"{'StopLoss': 3, 'Exit': 1}",61778.74999999955,3,1
2025-08-19,-844.9999999999968,5,"{'StopLoss': 4, 'Exit': 1}",60933.74999999955,3,2
2025-08-20,1040.0000000000032,4,"{'StopLoss': 3, 'Exit': 1}",61973.74999999955,2,2
2025-08-21,3763.75,2,"{'StopLoss': 1, 'TakeProfit': 1}",65737.49999999955,2,0
2025-08-22,438.74999999999704,3,"{'StopLoss': 2, 'Exit': 1}",66176.24999999955,2,1
2025-08-25,1240.0,2,"{'StopLoss': 1, 'Exit': 1}",67416.24999999955,2,0
2025-08-26,-3833.749999999992,8,"{'StopLoss': 7, 'Exit': 1}",63582.499999999556,1,7
2025-08-27,-2560.0000000000014,1,{'StopLoss': 1},61022.499999999556,0,1
2025-08-28,-5277.4999999999945,11,{'StopLoss': 11},55744.99999999956,2,9
2025-09-03,-1657.5000000000036,3,"{'StopLoss': 2, 'Exit': 1}",54087.49999999956,1,2
2025-09-04,-2736.2500000000005,7,"{'StopLoss': 6, 'Exit': 1}",51351.24999999956,2,5
2025-09-05,1965.0000000000061,6,"{'StopLoss': 5, 'Exit': 1}",53316.24999999957,3,3
2025-09-08,-1324.9999999999936,8,"{'StopLoss': 7, 'Exit': 1}",51991.24999999958,3,5
2025-09-09,1087.5000000000045,6,"{'StopLoss': 5, 'TakeProfit': 1}",53078.749999999585,3,3
2025-09-10,257.49999999999886,2,"{'StopLoss': 1, 'Exit': 1}",53336.249999999585,1,1
2025-09-11,1231.2500000000002,1,{'Exit': 1},54567.499999999585,1,0
2025-09-12,-297.4999999999993,2,"{'StopLoss': 1, 'Exit': 1}",54269.999999999585,1,1
2025-09-15,2266.250000000001,1,{'Exit': 1},56536.249999999585,1,0
2025-09-16,-838.749999999998,4,"{'StopLoss': 3, 'TakeProfit': 1}",55697.499999999585,1,3
2025-09-17,252.4999999999983,1,{'Exit': 1},55949.999999999585,1,0
2025-09-18,56.250000000000114,3,"{'StopLoss': 2, 'Exit': 1}",56006.249999999585,2,1
2025-09-19,1000.000000000002,2,"{'StopLoss': 1, 'Exit': 1}",57006.249999999585,1,1
2025-09-22,357.50000000000256,4,"{'StopLoss': 3, 'Exit': 1}",57363.749999999585,2,2
2025-09-23,-3619.9999999999955,11,{'StopLoss': 11},53743.74999999959,3,8
2025-09-24,1853.7499999999989,1,{'Exit': 1},55597.49999999959,1,0
2025-09-25,649.9999999999986,4,"{'StopLoss': 3, 'Exit': 1}",56247.49999999959,2,2
2025-09-26,1193.750000000004,4,"{'StopLoss': 3, 'Exit': 1}",57441.2499999996,2,2
2025-09-29,-2828.7499999999936,11,{'StopLoss': 11},54612.49999999961,4,7
2025-09-30,-1474.9999999999932,11,{'StopLoss': 11},53137.499999999614,4,7
2025-10-01,-947.5000000000011,4,"{'StopLoss': 3, 'Exit': 1}",52189.999999999614,2,2
2025-10-02,-411.25000000000153,1,{'StopLoss': 1},51778.749999999614,0,1
2025-10-03,561.2500000000014,2,"{'StopLoss': 1, 'Exit': 1}",52339.999999999614,1,1
2025-10-06,-1411.2499999999932,8,"{'StopLoss': 7, 'Exit': 1}",50928.74999999962,2,6
2025-10-07,2005.0000000000027,11,{'StopLoss': 11},52933.74999999962,6,5
2025-10-08,546.2499999999992,5,"{'StopLoss': 4, 'Exit': 1}",53479.99999999962,3,2
2025-10-09,150.00000000000114,3,"{'StopLoss': 2, 'Exit': 1}",53629.99999999962,1,2
2025-10-10,-1136.25,3,"{'StopLoss': 2, 'Exit': 1}",52493.74999999962,1,2
2025-10-13,-132.4999999999925,8,"{'StopLoss': 7, 'Exit': 1}",52361.24999999963,5,3
2025-10-14,1145.0000000000055,10,"{'StopLoss': 9, 'TakeProfit': 1}",53506.249999999636,5,5
